epsilon_cal,nominal_coverage,cal_size,certificate_width_tau_mean,observed_inflation_tau_grid_mean,avg_set_size_dp_cal_mean,test_coverage_dp_cal_mean,theorem_tau_ok_rate,theorem_idx_ok_rate,inflation_to_certificate_ratio_mean
2.0,0.55,1000,0.68,0.20666666666666667,4.495833333333333,0.8933,1.0,1.0,0.30392156862745096
2.0,0.55,2000,0.21333333333333335,0.09333333333333334,3.2708333333333335,0.8226999999999999,1.0,1.0,0.43636363636363634
2.0,0.55,4000,0.10000000000000002,0.04,2.787266666666666,0.7792,1.0,1.0,0.3999999999999999
2.0,0.65,1000,0.62,0.2733333333333334,5.829533333333333,0.9373,1.0,1.0,0.4404569892473118
2.0,0.65,2000,0.34,0.11333333333333333,3.9812666666666665,0.8658333333333333,1.0,1.0,0.3333333333333333
2.0,0.65,4000,0.13333333333333333,0.04666666666666667,3.4278,0.8334333333333334,1.0,1.0,0.34920634920634913
2.0,0.75,1000,0.5333333333333333,0.47333333333333333,9.287333333333335,0.9925666666666667,1.0,1.0,0.8888888888888888
2.0,0.75,2000,0.5533333333333333,0.18666666666666668,5.597233333333333,0.9337,1.0,1.0,0.33730158730158727
2.0,0.75,4000,0.18000000000000002,0.08,4.5158,0.8937333333333334,1.0,1.0,0.4444444444444445
4.0,0.55,1000,0.22,0.08,3.2744999999999997,0.8219666666666666,1.0,1.0,0.36153846153846153
4.0,0.55,2000,0.08666666666666667,0.04,2.8071333333333333,0.7825000000000001,1.0,1.0,0.4666666666666666
4.0,0.55,4000,0.04,0.02,2.6545,0.7678666666666666,1.0,1.0,0.5
4.0,0.65,1000,0.3466666666666667,0.12,4.202533333333333,0.8784666666666666,1.0,1.0,0.3466847265221878
4.0,0.65,2000,0.12,0.04666666666666667,3.4066666666666663,0.8333333333333334,1.0,1.0,0.38888888888888884
4.0,0.65,4000,0.05333333333333334,0.02666666666666667,3.2197666666666667,0.8168000000000001,1.0,1.0,0.5
4.0,0.75,1000,0.5333333333333333,0.16666666666666666,5.628866666666667,0.9322666666666667,1.0,1.0,0.31244064577397906
4.0,0.75,2000,0.18000000000000002,0.07333333333333333,4.416833333333333,0.8883666666666666,1.0,1.0,0.40648148148148144
4.0,0.75,4000,0.08,0.04666666666666667,4.1421,0.8755333333333333,1.0,1.0,0.5833333333333334
8.0,0.55,1000,0.08666666666666667,0.03333333333333333,2.8513333333333333,0.7857666666666666,1.0,1.0,0.3833333333333333
8.0,0.55,2000,0.04,0.02,2.6760333333333333,0.7703000000000001,1.0,1.0,0.5
8.0,0.55,4000,0.02,0.02,2.6545,0.7678666666666666,0.0,1.0,1.0
8.0,0.65,1000,0.12,0.05333333333333334,3.5957666666666666,0.8442333333333334,1.0,1.0,0.4539682539682539
8.0,0.65,2000,0.06,0.02666666666666667,3.203533333333333,0.8165333333333334,1.0,1.0,0.4444444444444445
8.0,0.65,4000,0.03333333333333333,0.02,3.150733333333333,0.8121,1.0,1.0,0.6666666666666666
8.0,0.75,1000,0.16666666666666666,0.06,4.495833333333333,0.8933,1.0,1.0,0.3678571428571428
8.0,0.75,2000,0.07333333333333333,0.03333333333333333,3.9924,0.8668,1.0,1.0,0.47222222222222227
8.0,0.75,4000,0.04666666666666667,0.03333333333333333,4.000366666666666,0.8667666666666666,0.6666666666666666,1.0,0.7222222222222223
