file,alpha,coverage_target,delta,epsilon_train_target,epsilon_cal,num_bins,cal_size,train_size,seed,device,nominal_coverage,label_smoothing,np_accuracy,np_coverage,np_avg_set_size,np_tau,dp_accuracy,epsilon_train_realized,noise_multiplier,tau_nonprivate_cal,test_coverage_nonprivate_cal,dp_avg_set_size_nonprivate_cal,epsilon_total_basic_composition,beta,coverage_lower_bound_formal,tau_dp_cal,test_coverage_dp_cal,avg_set_size_dp_cal,lambda,noise_scale,k,coverage_bound_formal_ok,privacy_training_ok,coverage_empirical_ok,overall_formal_ok,overall_empirical_ok,tau_q_k,tau_q_kplus2lambda,certificate_width_tau,observed_inflation_tau_grid,observed_inflation_tau_exact,theorem_tau_ok,theorem_idx_ok,q_k_index,q_kplus2lambda_index,crossing_index_dp,empirical_margin_to_bound,empirical_margin_to_target,empirical_margin_to_nominal,inflation_to_certificate_ratio
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.55_target_0.6_beta_0.001_lsmooth_0.5_seed_0.json,0.44999999999999996,0.6,1e-05,4.0,2.0,50,1000,49000,0,cuda,0.55,0.5,0.7152,0.8624,1.8458,0.2686043977737427,0.4815,3.991399689840786,0.5572509765625,0.3085463345050812,0.7583,2.5506,5.991399689840787,0.001,0.549,0.54,0.9028,4.6465,270.4944571102571,25.0,551,False,True,True,False,True,0.3199999928474426,1.0,0.68,0.22,0.2315,True,True,15,49,26,0.3538,0.30280000000000007,0.3528,0.32352941176470584
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.55_target_0.6_beta_0.001_lsmooth_0.5_seed_1.json,0.44999999999999996,0.6,1e-05,4.0,2.0,50,1000,49000,1,cuda,0.55,0.5,0.7329,0.866,1.8412,0.27079927921295166,0.481,3.991399689840786,0.5572509765625,0.3057022988796234,0.7527,2.4893,5.991399689840787,0.001,0.549,0.52,0.8882,4.4011,270.4944571102571,25.0,551,False,True,True,False,True,0.3199999928474426,1.0,0.68,0.2,0.2143,True,True,15,49,25,0.33919999999999995,0.2882,0.33819999999999995,0.29411764705882354
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.55_target_0.6_beta_0.001_lsmooth_0.5_seed_2.json,0.44999999999999996,0.6,1e-05,4.0,2.0,50,1000,49000,2,cuda,0.55,0.5,0.7303,0.876,1.8688,0.2769607603549957,0.4768,3.991399689840786,0.5572509765625,0.3017149567604065,0.7496,2.4811,5.991399689840787,0.001,0.549,0.52,0.8889,4.4399,270.4944571102571,25.0,551,False,True,True,False,True,0.3199999928474426,1.0,0.68,0.2,0.2183,True,True,15,49,25,0.3399,0.28890000000000005,0.3389,0.29411764705882354
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.65_target_0.6_beta_0.001_lsmooth_0.5_seed_0.json,0.35,0.6,1e-05,4.0,2.0,50,1000,49000,0,cuda,0.65,0.5,0.7184,0.8936,2.1575,0.31035488843917847,0.4815,3.991399689840786,0.5572509765625,0.380621075630188,0.8085,3.0789,5.991399689840787,0.001,0.649,0.64,0.9362,5.7129,270.4944571102571,25.0,651,True,True,True,True,True,0.4000000059604645,1.0,0.6,0.24,0.2594,True,True,19,49,31,0.2872,0.33620000000000005,0.2862,0.4
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.65_target_0.6_beta_0.001_lsmooth_0.5_seed_1.json,0.35,0.6,1e-05,4.0,2.0,50,1000,49000,1,cuda,0.65,0.5,0.7359,0.8839,2.0487,0.2996857166290283,0.481,3.991399689840786,0.5572509765625,0.35893502831459045,0.7863,2.8691,5.991399689840787,0.001,0.649,0.64,0.9338,5.6784,270.4944571102571,25.0,651,True,True,True,True,True,0.36000001430511475,1.0,0.64,0.28,0.2811,True,True,17,49,31,0.28479999999999994,0.3338,0.28379999999999994,0.43750000000000006
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.65_target_0.6_beta_0.001_lsmooth_0.5_seed_2.json,0.35,0.6,1e-05,4.0,2.0,50,1000,49000,2,cuda,0.65,0.5,0.7271,0.891,2.0999,0.30731815099716187,0.4768,3.991399689840786,0.5572509765625,0.3742470443248749,0.7999,3.0264,5.991399689840787,0.001,0.649,0.68,0.9419,6.0973,270.4944571102571,25.0,651,True,True,True,True,True,0.3799999952316284,1.0,0.62,0.3,0.3058,True,True,18,49,33,0.29289999999999994,0.3419,0.29189999999999994,0.48387096774193544
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.75_target_0.6_beta_0.001_lsmooth_0.5_seed_0.json,0.25,0.6,1e-05,4.0,2.0,50,1000,49000,0,cuda,0.75,0.5,0.7204,0.9092,2.4864,0.34997987747192383,0.4815,3.991399689840786,0.5572509765625,0.47377151250839233,0.8657,3.9443,5.991399689840787,0.001,0.749,1.0,1.0,10.0,270.4944571102571,25.0,751,True,True,True,True,True,0.47999998927116394,1.0,0.52,0.52,0.5262,True,True,23,49,49,0.251,0.4,0.25,1.0
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.75_target_0.6_beta_0.001_lsmooth_0.5_seed_1.json,0.25,0.6,1e-05,4.0,2.0,50,1000,49000,1,cuda,0.75,0.5,0.7357,0.9022,2.3055,0.3294861912727356,0.481,3.991399689840786,0.5572509765625,0.4471294581890106,0.8503,3.6826,5.991399689840787,0.001,0.749,0.82,0.9777,7.862,270.4944571102571,25.0,751,True,True,True,True,True,0.46000000834465027,1.0,0.54,0.36,0.3729,True,True,22,49,40,0.22870000000000001,0.37770000000000004,0.2277,0.6666666666666666
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.75_target_0.6_beta_0.001_lsmooth_0.5_seed_2.json,0.25,0.6,1e-05,4.0,2.0,50,1000,49000,2,cuda,0.75,0.5,0.7288,0.906,2.3481,0.33276745676994324,0.4768,3.991399689840786,0.5572509765625,0.4471263587474823,0.8475,3.7201,5.991399689840787,0.001,0.749,1.0,1.0,10.0,270.4944571102571,25.0,751,True,True,True,True,True,0.46000000834465027,1.0,0.54,0.54,0.5529,True,True,22,49,49,0.251,0.4,0.25,1.0
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.85_target_0.6_beta_0.001_lsmooth_0.5_seed_0.json,0.15000000000000002,0.6,1e-05,4.0,2.0,50,1000,49000,0,cuda,0.85,0.5,0.7249,0.9288,2.9607,0.4020076394081116,0.4815,3.991399689840786,0.5572509765625,0.6067318916320801,0.9277,5.3187,5.991399689840787,0.001,0.849,1.0,1.0,10.0,270.4944571102571,25.0,851,True,True,True,True,True,0.6200000047683716,1.0,0.38,0.38,0.3933,True,True,30,49,49,0.15100000000000002,0.4,0.15000000000000002,1.0
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.85_target_0.6_beta_0.001_lsmooth_0.5_seed_1.json,0.15000000000000002,0.6,1e-05,4.0,2.0,50,1000,49000,1,cuda,0.85,0.5,0.7348,0.9255,2.8413,0.3958797752857208,0.481,3.991399689840786,0.5572509765625,0.5531264543533325,0.9018,4.7259,5.991399689840787,0.001,0.849,1.0,1.0,10.0,270.4944571102571,25.0,851,True,True,True,True,True,0.5600000023841858,1.0,0.44,0.44,0.4469,True,True,27,49,49,0.15100000000000002,0.4,0.15000000000000002,1.0
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.85_target_0.6_beta_0.001_lsmooth_0.5_seed_2.json,0.15000000000000002,0.6,1e-05,4.0,2.0,50,1000,49000,2,cuda,0.85,0.5,0.7225,0.9259,2.8645,0.39437592029571533,0.4768,3.991399689840786,0.5572509765625,0.5421780347824097,0.8979,4.6677,5.991399689840787,0.001,0.849,1.0,1.0,10.0,270.4944571102571,25.0,851,True,True,True,True,True,0.5600000023841858,1.0,0.44,0.44,0.4578,True,True,27,49,49,0.15100000000000002,0.4,0.15000000000000002,1.0
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.55_target_0.6_beta_0.001_lsmooth_0.5_seed_0.json,0.44999999999999996,0.6,1e-05,4.0,2.0,50,2000,48000,0,cuda,0.55,0.5,0.7284,0.8694,1.8799,0.27567699551582336,0.4822,3.9932332188719033,0.5584716796875,0.30499720573425293,0.7559,2.5025,5.993233218871904,0.001,0.549,0.42,0.84,3.4746,270.4944571102571,25.0,1101,False,True,True,False,True,0.3199999928474426,0.5400000214576721,0.22,0.1,0.115,True,True,15,26,20,0.2909999999999999,0.24,0.2899999999999999,0.4545454545454546
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.55_target_0.6_beta_0.001_lsmooth_0.5_seed_1.json,0.44999999999999996,0.6,1e-05,4.0,2.0,50,2000,48000,1,cuda,0.55,0.5,0.7264,0.8654,1.8637,0.27305498719215393,0.4845,3.9932332188719033,0.5584716796875,0.2998277544975281,0.7427,2.4511,5.993233218871904,0.001,0.549,0.38,0.8026,3.06,270.4944571102571,25.0,1101,False,True,True,False,True,0.30000001192092896,0.5,0.2,0.08,0.0802,True,True,14,24,18,0.25359999999999994,0.2026,0.25259999999999994,0.39999999999999997
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.55_target_0.6_beta_0.001_lsmooth_0.5_seed_2.json,0.44999999999999996,0.6,1e-05,4.0,2.0,50,2000,48000,2,cuda,0.55,0.5,0.7299,0.8706,1.8408,0.2726597785949707,0.4783,3.9932332188719033,0.5584716796875,0.2926670014858246,0.7414,2.3968,5.993233218871904,0.001,0.549,0.4,0.8255,3.2779,270.4944571102571,25.0,1101,False,True,True,False,True,0.30000001192092896,0.5199999809265137,0.22,0.1,0.1073,True,True,14,25,19,0.27649999999999997,0.22550000000000003,0.27549999999999997,0.4545454545454546
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.65_target_0.6_beta_0.001_lsmooth_0.5_seed_0.json,0.35,0.6,1e-05,4.0,2.0,50,2000,48000,0,cuda,0.65,0.5,0.7264,0.8868,2.121,0.3018800616264343,0.4822,3.9932332188719033,0.5584716796875,0.37350621819496155,0.8031,3.0023,5.993233218871904,0.001,0.649,0.48,0.8664,3.9814,270.4944571102571,25.0,1301,True,True,True,True,True,0.3799999952316284,0.7200000286102295,0.34,0.1,0.1065,True,True,18,35,23,0.21739999999999993,0.26639999999999997,0.21639999999999993,0.29411764705882354
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.65_target_0.6_beta_0.001_lsmooth_0.5_seed_1.json,0.35,0.6,1e-05,4.0,2.0,50,2000,48000,1,cuda,0.65,0.5,0.7289,0.8828,2.0919,0.29914796352386475,0.4845,3.9932332188719033,0.5584716796875,0.3583650588989258,0.785,2.8755,5.993233218871904,0.001,0.649,0.48,0.8628,3.9686,270.4944571102571,25.0,1301,True,True,True,True,True,0.36000001430511475,0.699999988079071,0.34,0.12,0.1216,True,True,17,34,23,0.2138,0.26280000000000003,0.2128,0.3529411764705882
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.65_target_0.6_beta_0.001_lsmooth_0.5_seed_2.json,0.35,0.6,1e-05,4.0,2.0,50,2000,48000,2,cuda,0.65,0.5,0.7328,0.8881,2.0613,0.2949301302433014,0.4783,3.9932332188719033,0.5584716796875,0.35062694549560547,0.7861,2.84,5.993233218871904,0.001,0.649,0.48,0.8683,3.9938,270.4944571102571,25.0,1301,True,True,True,True,True,0.36000001430511475,0.699999988079071,0.34,0.12,0.1294,True,True,17,34,23,0.21929999999999994,0.2683,0.21829999999999994,0.3529411764705882
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.75_target_0.6_beta_0.001_lsmooth_0.5_seed_0.json,0.25,0.6,1e-05,4.0,2.0,50,2000,48000,0,cuda,0.75,0.5,0.7288,0.9038,2.4037,0.33423084020614624,0.4822,3.9932332188719033,0.5584716796875,0.45557454228401184,0.8561,3.7756,5.993233218871904,0.001,0.749,0.64,0.9364,5.7041,270.4944571102571,25.0,1501,True,True,True,True,True,0.46000000834465027,1.0,0.54,0.18,0.1844,True,True,22,49,31,0.1874,0.33640000000000003,0.1864,0.3333333333333333
