file,alpha,coverage_target,delta,epsilon_train_target,epsilon_cal,num_bins,cal_size,train_size,seed,device,nominal_coverage,label_smoothing,np_accuracy,np_coverage,np_avg_set_size,np_tau,dp_accuracy,epsilon_train_realized,noise_multiplier,tau_nonprivate_cal,test_coverage_nonprivate_cal,dp_avg_set_size_nonprivate_cal,epsilon_total_basic_composition,beta,coverage_lower_bound_formal,tau_dp_cal,test_coverage_dp_cal,avg_set_size_dp_cal,lambda,noise_scale,k,coverage_bound_formal_ok,privacy_training_ok,coverage_empirical_ok,overall_formal_ok,overall_empirical_ok,tau_q_k,tau_q_kplus2lambda,certificate_width_tau,observed_inflation_tau_grid,observed_inflation_tau_exact,theorem_tau_ok,theorem_idx_ok,q_k_index,q_kplus2lambda_index,crossing_index_dp,empirical_margin_to_bound,empirical_margin_to_target,empirical_margin_to_nominal,inflation_to_certificate_ratio
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.85_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.15000000000000002,0.7,1e-05,4.0,2.0,50,1000,49000,0,cuda,0.85,0.5,0.7224,0.9287,2.9851,0.4092811346054077,0.4815,3.991399689840786,0.5572509765625,0.6067318916320801,0.9277,5.3187,5.991399689840787,0.001,0.849,1.0,1.0,10.0,270.4944571102571,25.0,851,True,True,True,True,True,0.6200000047683716,1.0,0.38,0.38,0.3933,True,True,30,49,49,0.15100000000000002,0.30000000000000004,0.15000000000000002,1.0
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.85_target_0.7_beta_0.001_lsmooth_0.5_seed_1.json,0.15000000000000002,0.7,1e-05,4.0,2.0,50,1000,49000,1,cuda,0.85,0.5,0.73,0.9216,2.7804,0.38652360439300537,0.481,3.991399689840786,0.5572509765625,0.5531264543533325,0.9018,4.7259,5.991399689840787,0.001,0.849,1.0,1.0,10.0,270.4944571102571,25.0,851,True,True,True,True,True,0.5600000023841858,1.0,0.44,0.44,0.4469,True,True,27,49,49,0.15100000000000002,0.30000000000000004,0.15000000000000002,1.0
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.85_target_0.7_beta_0.001_lsmooth_0.5_seed_2.json,0.15000000000000002,0.7,1e-05,4.0,2.0,50,1000,49000,2,cuda,0.85,0.5,0.7226,0.9291,2.9067,0.40001386404037476,0.4768,3.991399689840786,0.5572509765625,0.5421780347824097,0.8979,4.6677,5.991399689840787,0.001,0.849,1.0,1.0,10.0,270.4944571102571,25.0,851,True,True,True,True,True,0.5600000023841858,1.0,0.44,0.44,0.4578,True,True,27,49,49,0.15100000000000002,0.30000000000000004,0.15000000000000002,1.0
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.95_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.050000000000000044,0.7,1e-05,4.0,2.0,50,1000,49000,0,cuda,0.95,0.5,0.7269,0.9772,5.7845,0.6580345630645752,0.4815,3.991399689840786,0.5572509765625,0.8447062969207764,0.9809,8.0533,5.991399689840787,0.001,0.949,1.0,1.0,10.0,270.4944571102571,25.0,951,True,True,True,True,True,0.8600000143051147,1.0,0.14,0.14,0.1553,True,True,42,49,49,0.051000000000000045,0.30000000000000004,0.050000000000000044,1.0
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.95_target_0.7_beta_0.001_lsmooth_0.5_seed_1.json,0.050000000000000044,0.7,1e-05,4.0,2.0,50,1000,49000,1,cuda,0.95,0.5,0.7299,0.9606,4.6636,0.5638338327407837,0.481,3.991399689840786,0.5572509765625,0.7689260244369507,0.9666,7.1053,5.991399689840787,0.001,0.949,1.0,1.0,10.0,270.4944571102571,25.0,951,True,True,True,True,True,0.7799999713897705,1.0,0.22,0.22,0.2311,True,True,38,49,49,0.051000000000000045,0.30000000000000004,0.050000000000000044,1.0
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.95_target_0.7_beta_0.001_lsmooth_0.5_seed_2.json,0.050000000000000044,0.7,1e-05,4.0,2.0,50,1000,49000,2,cuda,0.95,0.5,0.7203,0.9632,4.4242,0.5463838577270508,0.4768,3.991399689840786,0.5572509765625,0.7926020622253418,0.9743,7.5404,5.991399689840787,0.001,0.949,1.0,1.0,10.0,270.4944571102571,25.0,951,True,True,True,True,True,0.800000011920929,1.0,0.2,0.2,0.2074,True,True,39,49,49,0.051000000000000045,0.30000000000000004,0.050000000000000044,1.0
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.85_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.15000000000000002,0.7,1e-05,4.0,2.0,50,2000,48000,0,cuda,0.85,0.5,0.7305,0.9251,2.9546,0.3980522155761719,0.4822,3.9932332188719033,0.5584716796875,0.5742694735527039,0.9084,4.9321,5.993233218871904,0.001,0.849,0.94,0.9984,9.6157,270.4944571102571,25.0,1701,True,True,True,True,True,0.5799999833106995,1.0,0.42,0.36,0.3657,True,True,28,49,46,0.14939999999999998,0.2984,0.14839999999999998,0.8571428571428571
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.85_target_0.7_beta_0.001_lsmooth_0.5_seed_1.json,0.15000000000000002,0.7,1e-05,4.0,2.0,50,2000,48000,1,cuda,0.85,0.5,0.7266,0.9218,2.8836,0.3906534016132355,0.4845,3.9932332188719033,0.5584716796875,0.5309264659881592,0.8932,4.5277,5.993233218871904,0.001,0.849,0.82,0.979,7.8624,270.4944571102571,25.0,1701,True,True,True,True,True,0.5400000214576721,1.0,0.46,0.28,0.2891,True,True,26,49,40,0.13,0.279,0.129,0.6086956521739131
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.85_target_0.7_beta_0.001_lsmooth_0.5_seed_2.json,0.15000000000000002,0.7,1e-05,4.0,2.0,50,2000,48000,2,cuda,0.85,0.5,0.7336,0.9257,2.8899,0.39187291264533997,0.4783,3.9932332188719033,0.5584716796875,0.5477780103683472,0.9019,4.7082,5.993233218871904,0.001,0.849,0.92,0.9932,9.0142,270.4944571102571,25.0,1701,True,True,True,True,True,0.5600000023841858,1.0,0.44,0.36,0.3722,True,True,27,49,45,0.1442,0.2932,0.1432,0.8181818181818181
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.95_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.050000000000000044,0.7,1e-05,4.0,2.0,50,2000,48000,0,cuda,0.95,0.5,0.7249,0.9663,4.8956,0.5853487849235535,0.4822,3.9932332188719033,0.5584716796875,0.8187410831451416,0.9777,7.8736,5.993233218871904,0.001,0.949,1.0,1.0,10.0,270.4944571102571,25.0,1901,True,True,True,True,True,0.8199999928474426,1.0,0.18,0.18,0.1813,True,True,40,49,49,0.051000000000000045,0.30000000000000004,0.050000000000000044,1.0
