file,alpha,coverage_target,delta,epsilon_train_target,epsilon_cal,num_bins,cal_size,train_size,seed,device,nominal_coverage,label_smoothing,np_accuracy,np_coverage,np_avg_set_size,np_tau,dp_accuracy,epsilon_train_realized,noise_multiplier,tau_nonprivate_cal,test_coverage_nonprivate_cal,dp_avg_set_size_nonprivate_cal,epsilon_total_basic_composition,beta,coverage_lower_bound_formal,tau_dp_cal,test_coverage_dp_cal,avg_set_size_dp_cal,lambda,noise_scale,k,coverage_bound_formal_ok,privacy_training_ok,coverage_empirical_ok,overall_formal_ok,overall_empirical_ok,tau_q_k,tau_q_kplus2lambda,certificate_width_tau,observed_inflation_tau_grid,observed_inflation_tau_exact,theorem_tau_ok,theorem_idx_ok,q_k_index,q_kplus2lambda_index,crossing_index_dp,empirical_margin_to_bound,empirical_margin_to_target,empirical_margin_to_nominal,inflation_to_certificate_ratio
report_traineps_4.0_caleps_8.0_calsize_2000_nomcov_0.65_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.35,0.7,1e-05,4.0,8.0,50,2000,48000,0,cuda,0.65,0.5,0.7335,0.8861,2.0735,0.29694846272468567,0.4822,3.9932332188719033,0.5584716796875,0.37350621819496155,0.8031,3.0023,11.993233218871904,0.001,0.649,0.42,0.84,3.4746,67.62361427756427,6.25,1301,False,True,True,False,True,0.3799999952316284,0.4399999976158142,0.06,0.04,0.0465,True,True,18,21,20,0.19099999999999995,0.14,0.18999999999999995,0.6666666666666667
report_traineps_4.0_caleps_8.0_calsize_2000_nomcov_0.65_target_0.7_beta_0.001_lsmooth_0.5_seed_1.json,0.35,0.7,1e-05,4.0,8.0,50,2000,48000,1,cuda,0.65,0.5,0.7276,0.882,2.066,0.29863640666007996,0.4845,3.9932332188719033,0.5584716796875,0.3583650588989258,0.785,2.8755,11.993233218871904,0.001,0.649,0.38,0.8026,3.06,67.62361427756427,6.25,1301,False,True,True,False,True,0.36000001430511475,0.41999998688697815,0.06,0.02,0.0216,True,True,17,20,18,0.15359999999999996,0.10260000000000002,0.15259999999999996,0.33333333333333337
report_traineps_4.0_caleps_8.0_calsize_2000_nomcov_0.65_target_0.7_beta_0.001_lsmooth_0.5_seed_2.json,0.35,0.7,1e-05,4.0,8.0,50,2000,48000,2,cuda,0.65,0.5,0.7337,0.889,2.0468,0.29877138137817383,0.4783,3.9932332188719033,0.5584716796875,0.35062694549560547,0.7861,2.84,11.993233218871904,0.001,0.649,0.38,0.807,3.076,67.62361427756427,6.25,1301,False,True,True,False,True,0.36000001430511475,0.41999998688697815,0.06,0.02,0.0294,True,True,17,20,18,0.15800000000000003,0.1070000000000001,0.15700000000000003,0.33333333333333337
report_traineps_4.0_caleps_8.0_calsize_2000_nomcov_0.75_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.25,0.7,1e-05,4.0,8.0,50,2000,48000,0,cuda,0.75,0.5,0.7313,0.9056,2.3799,0.3314836621284485,0.4822,3.9932332188719033,0.5584716796875,0.45557454228401184,0.8561,3.7756,11.993233218871904,0.001,0.749,0.5,0.8781,4.1891,67.62361427756427,6.25,1501,True,True,True,True,True,0.46000000834465027,0.5400000214576721,0.08,0.04,0.0444,True,True,22,26,24,0.1291,0.17810000000000004,0.1281,0.5
report_traineps_4.0_caleps_8.0_calsize_2000_nomcov_0.75_target_0.7_beta_0.001_lsmooth_0.5_seed_1.json,0.25,0.7,1e-05,4.0,8.0,50,2000,48000,1,cuda,0.75,0.5,0.7298,0.905,2.3709,0.3297933042049408,0.4845,3.9932332188719033,0.5584716796875,0.4265948235988617,0.8386,3.527,11.993233218871904,0.001,0.749,0.48,0.8628,3.9686,67.62361427756427,6.25,1501,True,True,True,True,True,0.4399999976158142,0.5,0.06,0.04,0.0534,True,True,21,24,23,0.11380000000000001,0.16280000000000006,0.11280000000000001,0.6666666666666667
report_traineps_4.0_caleps_8.0_calsize_2000_nomcov_0.75_target_0.7_beta_0.001_lsmooth_0.5_seed_2.json,0.25,0.7,1e-05,4.0,8.0,50,2000,48000,2,cuda,0.75,0.5,0.732,0.9066,2.3264,0.32900092005729675,0.4783,3.9932332188719033,0.5584716796875,0.4227134883403778,0.841,3.5124,11.993233218871904,0.001,0.749,0.46,0.8595,3.8195,67.62361427756427,6.25,1501,True,True,True,True,True,0.4399999976158142,0.5199999809265137,0.08,0.02,0.0373,True,True,21,25,22,0.11050000000000004,0.1595000000000001,0.10950000000000004,0.25
report_traineps_4.0_caleps_8.0_calsize_4000_nomcov_0.65_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.35,0.7,1e-05,4.0,8.0,50,4000,46000,0,cuda,0.65,0.5,0.7288,0.8861,2.0636,0.2928707003593445,0.4748,3.995359909254509,0.5609130859375,0.36946389079093933,0.7949,2.9896,11.995359909254509,0.001,0.649,0.4,0.8233,3.2895,67.62361427756427,6.25,2601,False,True,True,False,True,0.3799999952316284,0.4000000059604645,0.02,0.02,0.0305,True,True,18,19,19,0.1743,0.12330000000000008,0.1733,1.0
report_traineps_4.0_caleps_8.0_calsize_4000_nomcov_0.65_target_0.7_beta_0.001_lsmooth_0.5_seed_1.json,0.35,0.7,1e-05,4.0,8.0,50,4000,46000,1,cuda,0.65,0.5,0.7304,0.8878,2.0957,0.3010737895965576,0.4769,3.995359909254509,0.5609130859375,0.35480934381484985,0.787,2.8793,11.995359909254509,0.001,0.649,0.38,0.8057,3.0864,67.62361427756427,6.25,2601,False,True,True,False,True,0.36000001430511475,0.4000000059604645,0.04,0.02,0.0252,True,True,17,19,18,0.15669999999999995,0.10570000000000002,0.15569999999999995,0.5
report_traineps_4.0_caleps_8.0_calsize_4000_nomcov_0.65_target_0.7_beta_0.001_lsmooth_0.5_seed_2.json,0.35,0.7,1e-05,4.0,8.0,50,4000,46000,2,cuda,0.65,0.5,0.7308,0.8792,2.0443,0.29460611939430237,0.4761,3.995359909254509,0.5609130859375,0.3574058711528778,0.7895,2.893,11.995359909254509,0.001,0.649,0.38,0.8073,3.0763,67.62361427756427,6.25,2601,False,True,True,False,True,0.36000001430511475,0.4000000059604645,0.04,0.02,0.0226,True,True,17,19,18,0.1583,0.10730000000000006,0.1573,0.5
report_traineps_4.0_caleps_8.0_calsize_4000_nomcov_0.75_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.25,0.7,1e-05,4.0,8.0,50,4000,46000,0,cuda,0.75,0.5,0.7298,0.9067,2.3784,0.3308411240577698,0.4748,3.995359909254509,0.5609130859375,0.45483994483947754,0.8575,3.7976,11.995359909254509,0.001,0.749,0.48,0.8689,4.0046,67.62361427756427,6.25,3001,True,True,True,True,True,0.46000000834465027,0.5,0.04,0.02,0.0252,True,True,22,24,23,0.1199,0.16890000000000005,0.1189,0.5
