file,alpha,coverage_target,delta,epsilon_train_target,epsilon_cal,num_bins,cal_size,train_size,seed,device,nominal_coverage,label_smoothing,np_accuracy,np_coverage,np_avg_set_size,np_tau,dp_accuracy,epsilon_train_realized,noise_multiplier,tau_nonprivate_cal,test_coverage_nonprivate_cal,dp_avg_set_size_nonprivate_cal,epsilon_total_basic_composition,beta,coverage_lower_bound_formal,tau_dp_cal,test_coverage_dp_cal,avg_set_size_dp_cal,lambda,noise_scale,k,coverage_bound_formal_ok,privacy_training_ok,coverage_empirical_ok,overall_formal_ok,overall_empirical_ok,empirical_margin_to_bound,empirical_margin_to_target,empirical_margin_to_nominal
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.45_target_0.4_beta_0.001_lsmooth_0.5_seed_0.json,0.55,0.4,1e-05,4.0,4.0,50,2000,48000,0,cuda,0.45,0.5,0.398,0.601,3.0802,0.08953453600406647,0.1188,3.9932332188719033,0.5584716796875,0.16859430074691772,0.4763,10.8927,7.993233218871904,0.001,0.44899999999999995,0.22,0.5453,14.6577,135.24722855512854,12.5,901,True,True,True,True,True,0.09630000000000005,0.14529999999999998,0.0953
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.45_target_0.4_beta_0.001_lsmooth_0.5_seed_1.json,0.55,0.4,1e-05,4.0,4.0,50,2000,48000,1,cuda,0.45,0.5,0.3981,0.5924,3.0218,0.08558520674705505,0.126,3.9932332188719033,0.5584716796875,0.1669224053621292,0.4694,10.7277,7.993233218871904,0.001,0.44899999999999995,0.22,0.5414,14.5941,135.24722855512854,12.5,901,True,True,True,True,True,0.09240000000000004,0.14139999999999997,0.09139999999999998
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.45_target_0.5_beta_0.001_lsmooth_0.5_seed_0.json,0.55,0.5,1e-05,4.0,4.0,50,2000,48000,0,cuda,0.45,0.5,0.3947,0.6029,3.1982,0.09281443804502487,0.1188,3.9932332188719033,0.5584716796875,0.16859430074691772,0.4763,10.8927,7.993233218871904,0.001,0.44899999999999995,0.22,0.5453,14.6577,135.24722855512854,12.5,901,False,True,True,False,True,0.09630000000000005,0.04530000000000001,0.0953
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.45_target_0.5_beta_0.001_lsmooth_0.5_seed_1.json,0.55,0.5,1e-05,4.0,4.0,50,2000,48000,1,cuda,0.45,0.5,0.3996,0.6005,3.0207,0.08604075014591217,0.126,3.9932332188719033,0.5584716796875,0.1669224053621292,0.4694,10.7277,7.993233218871904,0.001,0.44899999999999995,0.22,0.5414,14.5941,135.24722855512854,12.5,901,False,True,True,False,True,0.09240000000000004,0.04139999999999999,0.09139999999999998
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.45_target_0.6_beta_0.001_lsmooth_0.5_seed_0.json,0.55,0.6,1e-05,4.0,4.0,50,2000,48000,0,cuda,0.45,0.5,0.3958,0.6022,3.2368,0.09385316073894501,0.1188,3.9932332188719033,0.5584716796875,0.16859430074691772,0.4763,10.8927,7.993233218871904,0.001,0.44899999999999995,0.22,0.5453,14.6577,135.24722855512854,12.5,901,False,True,False,False,False,0.09630000000000005,-0.05469999999999997,0.0953
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.45_target_0.6_beta_0.001_lsmooth_0.5_seed_1.json,0.55,0.6,1e-05,4.0,4.0,50,2000,48000,1,cuda,0.45,0.5,0.403,0.6009,3.0385,0.08737838268280029,0.126,3.9932332188719033,0.5584716796875,0.1669224053621292,0.4694,10.7277,7.993233218871904,0.001,0.44899999999999995,0.22,0.5414,14.5941,135.24722855512854,12.5,901,False,True,False,False,False,0.09240000000000004,-0.058599999999999985,0.09139999999999998
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.45_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.55,0.7,1e-05,4.0,4.0,50,2000,48000,0,cuda,0.45,0.5,0.3879,0.5994,3.1883,0.09203894436359406,0.1188,3.9932332188719033,0.5584716796875,0.16859430074691772,0.4763,10.8927,7.993233218871904,0.001,0.44899999999999995,0.22,0.5453,14.6577,135.24722855512854,12.5,901,False,True,False,False,False,0.09630000000000005,-0.15469999999999995,0.0953
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.45_target_0.7_beta_0.001_lsmooth_0.5_seed_1.json,0.55,0.7,1e-05,4.0,4.0,50,2000,48000,1,cuda,0.45,0.5,0.3995,0.595,3.0399,0.08848845213651657,0.126,3.9932332188719033,0.5584716796875,0.1669224053621292,0.4694,10.7277,7.993233218871904,0.001,0.44899999999999995,0.22,0.5414,14.5941,135.24722855512854,12.5,901,False,True,False,False,False,0.09240000000000004,-0.15859999999999996,0.09139999999999998
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.45_target_0.8_beta_0.001_lsmooth_0.5_seed_0.json,0.55,0.8,1e-05,4.0,4.0,50,2000,48000,0,cuda,0.45,0.5,0.392,0.6065,3.2256,0.09325116127729416,0.1188,3.9932332188719033,0.5584716796875,0.16859430074691772,0.4763,10.8927,7.993233218871904,0.001,0.44899999999999995,0.22,0.5453,14.6577,135.24722855512854,12.5,901,False,True,False,False,False,0.09630000000000005,-0.25470000000000004,0.0953
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.45_target_0.8_beta_0.001_lsmooth_0.5_seed_1.json,0.55,0.8,1e-05,4.0,4.0,50,2000,48000,1,cuda,0.45,0.5,0.4054,0.592,2.9785,0.08358578383922577,0.126,3.9932332188719033,0.5584716796875,0.1669224053621292,0.4694,10.7277,7.993233218871904,0.001,0.44899999999999995,0.22,0.5414,14.5941,135.24722855512854,12.5,901,False,True,False,False,False,0.09240000000000004,-0.25860000000000005,0.09139999999999998
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.45_target_0.9_beta_0.001_lsmooth_0.5_seed_0.json,0.55,0.9,1e-05,4.0,4.0,50,2000,48000,0,cuda,0.45,0.5,0.39,0.5926,3.1549,0.08904922008514404,0.1188,3.9932332188719033,0.5584716796875,0.16859430074691772,0.4763,10.8927,7.993233218871904,0.001,0.44899999999999995,0.22,0.5453,14.6577,135.24722855512854,12.5,901,False,True,False,False,False,0.09630000000000005,-0.3547,0.0953
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.45_target_0.9_beta_0.001_lsmooth_0.5_seed_1.json,0.55,0.9,1e-05,4.0,4.0,50,2000,48000,1,cuda,0.45,0.5,0.4017,0.6021,3.0548,0.08600524067878723,0.126,3.9932332188719033,0.5584716796875,0.1669224053621292,0.4694,10.7277,7.993233218871904,0.001,0.44899999999999995,0.22,0.5414,14.5941,135.24722855512854,12.5,901,False,True,False,False,False,0.09240000000000004,-0.35860000000000003,0.09139999999999998
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.55_target_0.4_beta_0.001_lsmooth_0.5_seed_0.json,0.44999999999999996,0.4,1e-05,4.0,4.0,50,2000,48000,0,cuda,0.55,0.5,0.3935,0.6496,4.0802,0.11580902338027954,0.1188,3.9932332188719033,0.5584716796875,0.24329587817192078,0.5726,16.4325,7.993233218871904,0.001,0.549,0.32,0.652,22.5892,135.24722855512854,12.5,1101,True,True,True,True,True,0.10299999999999998,0.252,0.10199999999999998
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.55_target_0.4_beta_0.001_lsmooth_0.5_seed_1.json,0.44999999999999996,0.4,1e-05,4.0,4.0,50,2000,48000,1,cuda,0.55,0.5,0.4019,0.6397,3.8595,0.10637053102254868,0.126,3.9932332188719033,0.5584716796875,0.2349848449230194,0.5598,15.7352,7.993233218871904,0.001,0.549,0.3,0.6372,20.8492,135.24722855512854,12.5,1101,True,True,True,True,True,0.08819999999999995,0.23719999999999997,0.08719999999999994
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.55_target_0.5_beta_0.001_lsmooth_0.5_seed_0.json,0.44999999999999996,0.5,1e-05,4.0,4.0,50,2000,48000,0,cuda,0.55,0.5,0.397,0.6479,4.0544,0.11621543020009995,0.1188,3.9932332188719033,0.5584716796875,0.24329587817192078,0.5726,16.4325,7.993233218871904,0.001,0.549,0.32,0.652,22.5892,135.24722855512854,12.5,1101,True,True,True,True,True,0.10299999999999998,0.15200000000000002,0.10199999999999998
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.55_target_0.5_beta_0.001_lsmooth_0.5_seed_1.json,0.44999999999999996,0.5,1e-05,4.0,4.0,50,2000,48000,1,cuda,0.55,0.5,0.4027,0.641,3.8365,0.10850954055786133,0.126,3.9932332188719033,0.5584716796875,0.2349848449230194,0.5598,15.7352,7.993233218871904,0.001,0.549,0.3,0.6372,20.8492,135.24722855512854,12.5,1101,True,True,True,True,True,0.08819999999999995,0.1372,0.08719999999999994
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.55_target_0.6_beta_0.001_lsmooth_0.5_seed_0.json,0.44999999999999996,0.6,1e-05,4.0,4.0,50,2000,48000,0,cuda,0.55,0.5,0.3976,0.6539,4.1692,0.11843924224376678,0.1188,3.9932332188719033,0.5584716796875,0.24329587817192078,0.5726,16.4325,7.993233218871904,0.001,0.549,0.32,0.652,22.5892,135.24722855512854,12.5,1101,False,True,True,False,True,0.10299999999999998,0.052000000000000046,0.10199999999999998
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.55_target_0.6_beta_0.001_lsmooth_0.5_seed_1.json,0.44999999999999996,0.6,1e-05,4.0,4.0,50,2000,48000,1,cuda,0.55,0.5,0.4018,0.6448,3.896,0.1080750972032547,0.126,3.9932332188719033,0.5584716796875,0.2349848449230194,0.5598,15.7352,7.993233218871904,0.001,0.549,0.3,0.6372,20.8492,135.24722855512854,12.5,1101,False,True,True,False,True,0.08819999999999995,0.03720000000000001,0.08719999999999994
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.55_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.44999999999999996,0.7,1e-05,4.0,4.0,50,2000,48000,0,cuda,0.55,0.5,0.3914,0.6453,4.1275,0.11621339619159698,0.1188,3.9932332188719033,0.5584716796875,0.24329587817192078,0.5726,16.4325,7.993233218871904,0.001,0.549,0.32,0.652,22.5892,135.24722855512854,12.5,1101,False,True,False,False,False,0.10299999999999998,-0.04799999999999993,0.10199999999999998
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.55_target_0.7_beta_0.001_lsmooth_0.5_seed_1.json,0.44999999999999996,0.7,1e-05,4.0,4.0,50,2000,48000,1,cuda,0.55,0.5,0.3967,0.6384,3.8718,0.10720127820968628,0.126,3.9932332188719033,0.5584716796875,0.2349848449230194,0.5598,15.7352,7.993233218871904,0.001,0.549,0.3,0.6372,20.8492,135.24722855512854,12.5,1101,False,True,False,False,False,0.08819999999999995,-0.06279999999999997,0.08719999999999994
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.55_target_0.8_beta_0.001_lsmooth_0.5_seed_0.json,0.44999999999999996,0.8,1e-05,4.0,4.0,50,2000,48000,0,cuda,0.55,0.5,0.388,0.6492,4.0511,0.11478978395462036,0.1188,3.9932332188719033,0.5584716796875,0.24329587817192078,0.5726,16.4325,7.993233218871904,0.001,0.549,0.32,0.652,22.5892,135.24722855512854,12.5,1101,False,True,False,False,False,0.10299999999999998,-0.14800000000000002,0.10199999999999998
