file,alpha,coverage_target,delta,epsilon_train_target,epsilon_cal,num_bins,cal_size,train_size,seed,device,np_accuracy,np_coverage,np_avg_set_size,np_tau,dp_accuracy,epsilon_train_realized,noise_multiplier,tau_nonprivate_cal,dp_coverage_nonprivate_cal,dp_avg_set_size_nonprivate_cal,beta,coverage_lower_bound_formal,tau_dp_cal,dp_coverage_dpcal,dp_avg_set_size_dpcal,lambda,noise_scale,k,nominal_coverage,requested_coverage_target,overall_empirical_ok,overall_formal_ok,coverage_ok_empirical,privacy_training_ok,epsilon_total_basic,emp_minus_bound,overall_empirical_contract_ok,empirical_margin_to_target
report_traineps_1.0_caleps_0.1_calsize_500_nomcov_0.92_target_0.89_beta_0.001_seed_0.json,0.07999999999999996,0.89,1e-05,1.0,0.1,50,500,59500,0,cuda,0.9747,0.9935,1.1412,0.05978435277938843,0.9097,0.9980757255799324,0.849609375,0.1107756495475769,0.9412,1.1173,0.001,0.919,1.0,0.9097,1.0,5409.889142205142,500.0,461,0.92,0.89,True,True,True,True,1.0980757255799325,-0.009300000000000086,True,0.01969999999999994
report_traineps_1.0_caleps_0.1_calsize_500_nomcov_0.92_target_0.89_beta_0.001_seed_1.json,0.07999999999999996,0.89,1e-05,1.0,0.1,50,500,59500,1,cuda,0.9736,0.9938,1.1365,0.05687141418457031,0.9125,0.9980757255799324,0.849609375,0.06098330020904541,0.9511,1.1565,0.001,0.919,1.0,0.9125,1.0,5409.889142205142,500.0,461,0.92,0.89,True,True,True,True,1.0980757255799325,-0.006500000000000061,True,0.022499999999999964
report_traineps_1.0_caleps_0.1_calsize_500_nomcov_0.92_target_0.89_beta_0.001_seed_2.json,0.07999999999999996,0.89,1e-05,1.0,0.1,50,500,59500,2,cuda,0.9732,0.9935,1.1233,0.06862932443618774,0.9123,0.9980757255799324,0.849609375,0.07399481534957886,0.9503,1.1512,0.001,0.919,1.0,0.9123,1.0,5409.889142205142,500.0,461,0.92,0.89,True,True,True,True,1.0980757255799325,-0.006700000000000039,True,0.022299999999999986
report_traineps_1.0_caleps_0.1_calsize_500_nomcov_0.92_target_0.91_beta_0.001_seed_0.json,0.07999999999999996,0.91,1e-05,1.0,0.1,50,500,59500,0,cuda,0.9747,0.9935,1.1412,0.05978435277938843,0.9097,0.9980757255799324,0.849609375,0.1107756495475769,0.9412,1.1173,0.001,0.919,1.0,0.9097,1.0,5409.889142205142,500.0,461,0.92,0.91,False,True,False,True,1.0980757255799325,-0.009300000000000086,False,-0.000300000000000078
report_traineps_1.0_caleps_0.1_calsize_500_nomcov_0.92_target_0.91_beta_0.001_seed_1.json,0.07999999999999996,0.91,1e-05,1.0,0.1,50,500,59500,1,cuda,0.9736,0.9938,1.1365,0.05687141418457031,0.9125,0.9980757255799324,0.849609375,0.06098330020904541,0.9511,1.1565,0.001,0.919,1.0,0.9125,1.0,5409.889142205142,500.0,461,0.92,0.91,True,True,True,True,1.0980757255799325,-0.006500000000000061,True,0.0024999999999999467
report_traineps_1.0_caleps_0.1_calsize_500_nomcov_0.92_target_0.91_beta_0.001_seed_2.json,0.07999999999999996,0.91,1e-05,1.0,0.1,50,500,59500,2,cuda,0.9732,0.9935,1.1233,0.06862932443618774,0.9123,0.9980757255799324,0.849609375,0.07399481534957886,0.9503,1.1512,0.001,0.919,1.0,0.9123,1.0,5409.889142205142,500.0,461,0.92,0.91,True,True,True,True,1.0980757255799325,-0.006700000000000039,True,0.0022999999999999687
report_traineps_1.0_caleps_0.1_calsize_500_nomcov_0.92_target_0.92_beta_0.001_seed_0.json,0.07999999999999996,0.92,1e-05,1.0,0.1,50,500,59500,0,cuda,0.9747,0.9935,1.1412,0.05978435277938843,0.9097,0.9980757255799324,0.849609375,0.1107756495475769,0.9412,1.1173,0.001,0.919,1.0,0.9097,1.0,5409.889142205142,500.0,461,0.92,0.92,False,False,False,True,1.0980757255799325,-0.009300000000000086,False,-0.010300000000000087
report_traineps_1.0_caleps_0.1_calsize_500_nomcov_0.92_target_0.92_beta_0.001_seed_1.json,0.07999999999999996,0.92,1e-05,1.0,0.1,50,500,59500,1,cuda,0.9736,0.9938,1.1365,0.05687141418457031,0.9125,0.9980757255799324,0.849609375,0.06098330020904541,0.9511,1.1565,0.001,0.919,1.0,0.9125,1.0,5409.889142205142,500.0,461,0.92,0.92,False,False,False,True,1.0980757255799325,-0.006500000000000061,False,-0.007500000000000062
report_traineps_1.0_caleps_0.1_calsize_500_nomcov_0.92_target_0.92_beta_0.001_seed_2.json,0.07999999999999996,0.92,1e-05,1.0,0.1,50,500,59500,2,cuda,0.9732,0.9935,1.1233,0.06862932443618774,0.9123,0.9980757255799324,0.849609375,0.07399481534957886,0.9503,1.1512,0.001,0.919,1.0,0.9123,1.0,5409.889142205142,500.0,461,0.92,0.92,False,False,False,True,1.0980757255799325,-0.006700000000000039,False,-0.00770000000000004
report_traineps_1.0_caleps_0.1_calsize_500_nomcov_0.92_target_0.93_beta_0.001_seed_0.json,0.07999999999999996,0.93,1e-05,1.0,0.1,50,500,59500,0,cuda,0.9747,0.9935,1.1412,0.05978435277938843,0.9097,0.9980757255799324,0.849609375,0.1107756495475769,0.9412,1.1173,0.001,0.919,1.0,0.9097,1.0,5409.889142205142,500.0,461,0.92,0.93,False,False,False,True,1.0980757255799325,-0.009300000000000086,False,-0.020300000000000096
report_traineps_1.0_caleps_0.1_calsize_500_nomcov_0.92_target_0.93_beta_0.001_seed_1.json,0.07999999999999996,0.93,1e-05,1.0,0.1,50,500,59500,1,cuda,0.9736,0.9938,1.1365,0.05687141418457031,0.9125,0.9980757255799324,0.849609375,0.06098330020904541,0.9511,1.1565,0.001,0.919,1.0,0.9125,1.0,5409.889142205142,500.0,461,0.92,0.93,False,False,False,True,1.0980757255799325,-0.006500000000000061,False,-0.01750000000000007
report_traineps_1.0_caleps_0.1_calsize_500_nomcov_0.92_target_0.93_beta_0.001_seed_2.json,0.07999999999999996,0.93,1e-05,1.0,0.1,50,500,59500,2,cuda,0.9732,0.9935,1.1233,0.06862932443618774,0.9123,0.9980757255799324,0.849609375,0.07399481534957886,0.9503,1.1512,0.001,0.919,1.0,0.9123,1.0,5409.889142205142,500.0,461,0.92,0.93,False,False,False,True,1.0980757255799325,-0.006700000000000039,False,-0.01770000000000005
report_traineps_1.0_caleps_0.1_calsize_500_nomcov_0.92_target_0.94_beta_0.001_seed_0.json,0.07999999999999996,0.94,1e-05,1.0,0.1,50,500,59500,0,cuda,0.9747,0.9935,1.1412,0.05978435277938843,0.9097,0.9980757255799324,0.849609375,0.1107756495475769,0.9412,1.1173,0.001,0.919,1.0,0.9097,1.0,5409.889142205142,500.0,461,0.92,0.94,False,False,False,True,1.0980757255799325,-0.009300000000000086,False,-0.030299999999999994
report_traineps_1.0_caleps_0.1_calsize_500_nomcov_0.92_target_0.94_beta_0.001_seed_1.json,0.07999999999999996,0.94,1e-05,1.0,0.1,50,500,59500,1,cuda,0.9736,0.9938,1.1365,0.05687141418457031,0.9125,0.9980757255799324,0.849609375,0.06098330020904541,0.9511,1.1565,0.001,0.919,1.0,0.9125,1.0,5409.889142205142,500.0,461,0.92,0.94,False,False,False,True,1.0980757255799325,-0.006500000000000061,False,-0.02749999999999997
report_traineps_1.0_caleps_0.1_calsize_500_nomcov_0.92_target_0.94_beta_0.001_seed_2.json,0.07999999999999996,0.94,1e-05,1.0,0.1,50,500,59500,2,cuda,0.9732,0.9935,1.1233,0.06862932443618774,0.9123,0.9980757255799324,0.849609375,0.07399481534957886,0.9503,1.1512,0.001,0.919,1.0,0.9123,1.0,5409.889142205142,500.0,461,0.92,0.94,False,False,False,True,1.0980757255799325,-0.006700000000000039,False,-0.027699999999999947
report_traineps_1.0_caleps_0.1_calsize_500_nomcov_0.92_target_0.95_beta_0.001_seed_0.json,0.07999999999999996,0.95,1e-05,1.0,0.1,50,500,59500,0,cuda,0.9747,0.9935,1.1412,0.05978435277938843,0.9097,0.9980757255799324,0.849609375,0.1107756495475769,0.9412,1.1173,0.001,0.919,1.0,0.9097,1.0,5409.889142205142,500.0,461,0.92,0.95,False,False,False,True,1.0980757255799325,-0.009300000000000086,False,-0.0403
report_traineps_1.0_caleps_0.1_calsize_500_nomcov_0.92_target_0.95_beta_0.001_seed_1.json,0.07999999999999996,0.95,1e-05,1.0,0.1,50,500,59500,1,cuda,0.9736,0.9938,1.1365,0.05687141418457031,0.9125,0.9980757255799324,0.849609375,0.06098330020904541,0.9511,1.1565,0.001,0.919,1.0,0.9125,1.0,5409.889142205142,500.0,461,0.92,0.95,False,False,False,True,1.0980757255799325,-0.006500000000000061,False,-0.03749999999999998
report_traineps_1.0_caleps_0.1_calsize_500_nomcov_0.92_target_0.95_beta_0.001_seed_2.json,0.07999999999999996,0.95,1e-05,1.0,0.1,50,500,59500,2,cuda,0.9732,0.9935,1.1233,0.06862932443618774,0.9123,0.9980757255799324,0.849609375,0.07399481534957886,0.9503,1.1512,0.001,0.919,1.0,0.9123,1.0,5409.889142205142,500.0,461,0.92,0.95,False,False,False,True,1.0980757255799325,-0.006700000000000039,False,-0.037699999999999956
report_traineps_1.0_caleps_0.1_calsize_500_nomcov_0.92_target_0.9_beta_0.001_seed_0.json,0.07999999999999996,0.9,1e-05,1.0,0.1,50,500,59500,0,cuda,0.9747,0.9935,1.1412,0.05978435277938843,0.9097,0.9980757255799324,0.849609375,0.1107756495475769,0.9412,1.1173,0.001,0.919,1.0,0.9097,1.0,5409.889142205142,500.0,461,0.92,0.9,True,True,True,True,1.0980757255799325,-0.009300000000000086,True,0.009699999999999931
report_traineps_1.0_caleps_0.1_calsize_500_nomcov_0.92_target_0.9_beta_0.001_seed_1.json,0.07999999999999996,0.9,1e-05,1.0,0.1,50,500,59500,1,cuda,0.9736,0.9938,1.1365,0.05687141418457031,0.9125,0.9980757255799324,0.849609375,0.06098330020904541,0.9511,1.1565,0.001,0.919,1.0,0.9125,1.0,5409.889142205142,500.0,461,0.92,0.9,True,True,True,True,1.0980757255799325,-0.006500000000000061,True,0.012499999999999956
