file,alpha,coverage_target,delta,epsilon_train_target,epsilon_cal,num_bins,cal_size,train_size,seed,device,nominal_coverage,label_smoothing,np_accuracy,np_coverage,np_avg_set_size,np_tau,dp_accuracy,epsilon_train_realized,noise_multiplier,tau_nonprivate_cal,test_coverage_nonprivate_cal,dp_avg_set_size_nonprivate_cal,epsilon_total_basic_composition,beta,coverage_lower_bound_formal,tau_dp_cal,test_coverage_dp_cal,avg_set_size_dp_cal,lambda,noise_scale,k,coverage_bound_formal_ok,privacy_training_ok,coverage_empirical_ok,overall_formal_ok,overall_empirical_ok,tau_q_k,tau_q_kplus2lambda,certificate_width_tau,observed_inflation_tau_grid,observed_inflation_tau_exact,theorem_tau_ok,theorem_idx_ok,q_k_index,q_kplus2lambda_index,crossing_index_dp,empirical_margin_to_bound,empirical_margin_to_target,empirical_margin_to_nominal,inflation_to_certificate_ratio
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.55_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.44999999999999996,0.7,1e-05,4.0,2.0,50,1000,59000,0,cuda,0.55,0.5,0.9217,0.9777,1.5952,0.2717936336994171,0.7959,3.9913278624190167,0.5462646484375,0.2922503352165222,0.9104,1.7709,5.991327862419016,0.001,0.549,0.36,0.9431,2.4062,270.4944571102571,25.0,551,False,True,True,False,True,0.30000001192092896,1.0,0.7,0.06,0.0677,True,True,14,49,17,0.3941,0.2431000000000001,0.3931,0.08571428571428572
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.55_target_0.7_beta_0.001_lsmooth_0.5_seed_1.json,0.44999999999999996,0.7,1e-05,4.0,2.0,50,1000,59000,1,cuda,0.55,0.5,0.9243,0.9777,1.6395,0.2655304968357086,0.7912,3.9913278624190167,0.5462646484375,0.277554988861084,0.9061,1.8016,5.991327862419016,0.001,0.549,0.34,0.9403,2.3904,270.4944571102571,25.0,551,False,True,True,False,True,0.2800000011920929,1.0,0.72,0.06,0.0624,True,True,13,49,16,0.3913,0.24030000000000007,0.3903,0.08333333333333333
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.55_target_0.7_beta_0.001_lsmooth_0.5_seed_2.json,0.44999999999999996,0.7,1e-05,4.0,2.0,50,1000,59000,2,cuda,0.55,0.5,0.9228,0.9787,1.6222,0.27566227316856384,0.7925,3.9913278624190167,0.5462646484375,0.2661965787410736,0.902,1.821,5.991327862419016,0.001,0.549,0.34,0.9304,2.541,270.4944571102571,25.0,551,False,True,True,False,True,0.2800000011920929,1.0,0.72,0.06,0.0738,True,True,13,49,16,0.38139999999999996,0.23040000000000005,0.38039999999999996,0.08333333333333333
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.65_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.35,0.7,1e-05,4.0,2.0,50,1000,59000,0,cuda,0.65,0.5,0.9246,0.9795,1.7095,0.2768118381500244,0.7959,3.9913278624190167,0.5462646484375,0.3116513788700104,0.92,1.9332,5.991327862419016,0.001,0.649,0.42,0.9567,3.0013,270.4944571102571,25.0,651,False,True,True,False,True,0.3199999928474426,1.0,0.68,0.1,0.1083,True,True,15,49,20,0.3077,0.25670000000000004,0.3067,0.14705882352941177
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.65_target_0.7_beta_0.001_lsmooth_0.5_seed_1.json,0.35,0.7,1e-05,4.0,2.0,50,1000,59000,1,cuda,0.65,0.5,0.9215,0.9785,1.7209,0.27834945917129517,0.7912,3.9913278624190167,0.5462646484375,0.2955702543258667,0.9155,1.9623,5.991327862419016,0.001,0.649,0.38,0.9549,2.7998,270.4944571102571,25.0,651,False,True,True,False,True,0.30000001192092896,1.0,0.7,0.08,0.0844,True,True,14,49,18,0.30589999999999995,0.2549,0.30489999999999995,0.1142857142857143
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.65_target_0.7_beta_0.001_lsmooth_0.5_seed_2.json,0.35,0.7,1e-05,4.0,2.0,50,1000,59000,2,cuda,0.65,0.5,0.9238,0.9785,1.7408,0.2830218970775604,0.7925,3.9913278624190167,0.5462646484375,0.28426593542099,0.9127,1.9913,5.991327862419016,0.001,0.649,0.4,0.946,3.1645,270.4944571102571,25.0,651,False,True,True,False,True,0.30000001192092896,1.0,0.7,0.1,0.1157,True,True,14,49,19,0.29699999999999993,0.246,0.29599999999999993,0.14285714285714288
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.75_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.25,0.7,1e-05,4.0,2.0,50,1000,59000,0,cuda,0.75,0.5,0.9239,0.9812,1.8169,0.2857145071029663,0.7959,3.9913278624190167,0.5462646484375,0.33191725611686707,0.9307,2.1121,5.991327862419016,0.001,0.749,0.54,0.9773,4.3933,270.4944571102571,25.0,751,True,True,True,True,True,0.3400000035762787,1.0,0.66,0.2,0.2081,True,True,16,49,26,0.22829999999999995,0.2773,0.22729999999999995,0.30303030303030304
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.75_target_0.7_beta_0.001_lsmooth_0.5_seed_1.json,0.25,0.7,1e-05,4.0,2.0,50,1000,59000,1,cuda,0.75,0.5,0.9225,0.9793,1.8227,0.2799448072910309,0.7912,3.9913278624190167,0.5462646484375,0.3171594440937042,0.9281,2.168,5.991327862419016,0.001,0.749,0.64,0.9836,5.8285,270.4944571102571,25.0,751,True,True,True,True,True,0.3199999928474426,1.0,0.68,0.32,0.3228,True,True,15,49,31,0.23460000000000003,0.2836000000000001,0.23360000000000003,0.47058823529411764
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.75_target_0.7_beta_0.001_lsmooth_0.5_seed_2.json,0.25,0.7,1e-05,4.0,2.0,50,1000,59000,2,cuda,0.75,0.5,0.9243,0.9799,1.8167,0.2871735394001007,0.7925,3.9913278624190167,0.5462646484375,0.3086337745189667,0.923,2.235,5.991327862419016,0.001,0.749,1.0,1.0,10.0,270.4944571102571,25.0,751,True,True,True,True,True,0.3199999928474426,1.0,0.68,0.68,0.6914,True,True,15,49,49,0.251,0.30000000000000004,0.25,1.0
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.55_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.44999999999999996,0.7,1e-05,4.0,2.0,50,2000,58000,0,cuda,0.55,0.5,0.9156,0.973,1.6328,0.26752331852912903,0.7821,4.001947350652126,0.546875,0.2701232135295868,0.8952,1.778,6.001947350652126,0.001,0.549,0.3,0.9102,2.0445,270.4944571102571,25.0,1101,False,True,True,False,True,0.2800000011920929,0.3400000035762787,0.06,0.02,0.0299,True,True,13,16,14,0.36119999999999997,0.21020000000000005,0.36019999999999996,0.33333333333333337
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.55_target_0.7_beta_0.001_lsmooth_0.5_seed_1.json,0.44999999999999996,0.7,1e-05,4.0,2.0,50,2000,58000,1,cuda,0.55,0.5,0.9252,0.9794,1.6378,0.26915013790130615,0.7945,4.001947350652126,0.546875,0.27536454796791077,0.9038,1.7766,6.001947350652126,0.001,0.549,0.3,0.9202,1.9811,270.4944571102571,25.0,1101,False,True,True,False,True,0.2800000011920929,0.36000001430511475,0.08,0.02,0.0246,True,True,13,17,14,0.3712,0.22020000000000006,0.3702,0.25
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.55_target_0.7_beta_0.001_lsmooth_0.5_seed_2.json,0.44999999999999996,0.7,1e-05,4.0,2.0,50,2000,58000,2,cuda,0.55,0.5,0.918,0.9758,1.6147,0.28014692664146423,0.8061,4.001947350652126,0.546875,0.27505964040756226,0.913,1.7758,6.001947350652126,0.001,0.549,0.3,0.9243,2.0098,270.4944571102571,25.0,1101,False,True,True,False,True,0.2800000011920929,0.3400000035762787,0.06,0.02,0.0249,True,True,13,16,14,0.37529999999999997,0.22430000000000005,0.37429999999999997,0.33333333333333337
