file,alpha,coverage_target,delta,epsilon_train_target,epsilon_cal,num_bins,cal_size,train_size,seed,device,nominal_coverage,label_smoothing,np_accuracy,np_coverage,np_avg_set_size,np_tau,dp_accuracy,epsilon_train_realized,noise_multiplier,tau_nonprivate_cal,test_coverage_nonprivate_cal,dp_avg_set_size_nonprivate_cal,epsilon_total_basic_composition,beta,coverage_lower_bound_formal,tau_dp_cal,test_coverage_dp_cal,avg_set_size_dp_cal,lambda,noise_scale,k,coverage_bound_formal_ok,privacy_training_ok,coverage_empirical_ok,overall_formal_ok,overall_empirical_ok,tau_q_k,tau_q_kplus2lambda,certificate_width_tau,observed_inflation_tau_grid,observed_inflation_tau_exact,theorem_tau_ok,theorem_idx_ok,q_k_index,q_kplus2lambda_index,crossing_index_dp,empirical_margin_to_bound,empirical_margin_to_target,empirical_margin_to_nominal,inflation_to_certificate_ratio
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.55_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.44999999999999996,0.7,1e-05,4.0,2.0,50,1000,49000,0,cuda,0.55,0.5,0.7188,0.8702,1.8612,0.2768150866031647,0.4815,3.991399689840786,0.5572509765625,0.3085463345050812,0.7583,2.5506,5.991399689840787,0.001,0.549,0.54,0.9028,4.6465,270.4944571102571,25.0,551,False,True,True,False,True,0.3199999928474426,1.0,0.68,0.22,0.2315,True,True,15,49,26,0.3538,0.2028000000000001,0.3528,0.32352941176470584
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.65_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.35,0.7,1e-05,4.0,2.0,50,1000,49000,0,cuda,0.65,0.5,0.719,0.8936,2.1312,0.304362952709198,0.4815,3.991399689840786,0.5572509765625,0.380621075630188,0.8085,3.0789,5.991399689840787,0.001,0.649,0.64,0.9362,5.7129,270.4944571102571,25.0,651,False,True,True,False,True,0.4000000059604645,1.0,0.6,0.24,0.2594,True,True,19,49,31,0.2872,0.23620000000000008,0.2862,0.4
report_traineps_4.0_caleps_2.0_calsize_1000_nomcov_0.75_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.25,0.7,1e-05,4.0,2.0,50,1000,49000,0,cuda,0.75,0.5,0.7225,0.9087,2.4805,0.34859365224838257,0.4815,3.991399689840786,0.5572509765625,0.47377151250839233,0.8657,3.9443,5.991399689840787,0.001,0.749,1.0,1.0,10.0,270.4944571102571,25.0,751,True,True,True,True,True,0.47999998927116394,1.0,0.52,0.52,0.5262,True,True,23,49,49,0.251,0.30000000000000004,0.25,1.0
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.55_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.44999999999999996,0.7,1e-05,4.0,2.0,50,2000,48000,0,cuda,0.55,0.5,0.7264,0.8662,1.8503,0.26864221692085266,0.4822,3.9932332188719033,0.5584716796875,0.30499720573425293,0.7559,2.5025,5.993233218871904,0.001,0.549,0.42,0.84,3.4746,270.4944571102571,25.0,1101,False,True,True,False,True,0.3199999928474426,0.5400000214576721,0.22,0.1,0.115,True,True,15,26,20,0.2909999999999999,0.14,0.2899999999999999,0.4545454545454546
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.65_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.35,0.7,1e-05,4.0,2.0,50,2000,48000,0,cuda,0.65,0.5,0.7256,0.8847,2.0806,0.2980665862560272,0.4822,3.9932332188719033,0.5584716796875,0.37350621819496155,0.8031,3.0023,5.993233218871904,0.001,0.649,0.48,0.8664,3.9814,270.4944571102571,25.0,1301,False,True,True,False,True,0.3799999952316284,0.7200000286102295,0.34,0.1,0.1065,True,True,18,35,23,0.21739999999999993,0.1664,0.21639999999999993,0.29411764705882354
report_traineps_4.0_caleps_4.0_calsize_1000_nomcov_0.55_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.44999999999999996,0.7,1e-05,4.0,4.0,50,1000,49000,0,cuda,0.55,0.5,0.7179,0.8671,1.8829,0.27533891797065735,0.4815,3.991399689840786,0.5572509765625,0.3085463345050812,0.7583,2.5506,7.991399689840787,0.001,0.549,0.42,0.8422,3.4916,135.24722855512854,12.5,551,False,True,True,False,True,0.3199999928474426,0.5799999833106995,0.26,0.1,0.1115,True,True,15,28,20,0.2931999999999999,0.1422,0.2921999999999999,0.38461538461538464
report_traineps_4.0_caleps_4.0_calsize_1000_nomcov_0.65_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.35,0.7,1e-05,4.0,4.0,50,1000,49000,0,cuda,0.65,0.5,0.7233,0.894,2.1404,0.3085322976112366,0.4815,3.991399689840786,0.5572509765625,0.380621075630188,0.8085,3.0789,7.991399689840787,0.001,0.649,0.52,0.8939,4.4346,135.24722855512854,12.5,651,False,True,True,False,True,0.4000000059604645,0.7799999713897705,0.38,0.12,0.1394,True,True,19,38,25,0.2449,0.19390000000000007,0.2439,0.3157894736842105
report_traineps_4.0_caleps_4.0_calsize_1000_nomcov_0.75_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.25,0.7,1e-05,4.0,4.0,50,1000,49000,0,cuda,0.75,0.5,0.7215,0.9083,2.4856,0.3484000563621521,0.4815,3.991399689840786,0.5572509765625,0.47377151250839233,0.8657,3.9443,7.991399689840787,0.001,0.749,0.64,0.9362,5.7129,135.24722855512854,12.5,751,True,True,True,True,True,0.47999998927116394,1.0,0.52,0.16,0.1662,True,True,23,49,31,0.18720000000000003,0.23620000000000008,0.18620000000000003,0.3076923076923077
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.55_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.44999999999999996,0.7,1e-05,4.0,4.0,50,2000,48000,0,cuda,0.55,0.5,0.728,0.8676,1.8788,0.2706042230129242,0.4822,3.9932332188719033,0.5584716796875,0.30499720573425293,0.7559,2.5025,7.993233218871904,0.001,0.549,0.36,0.7928,2.8917,135.24722855512854,12.5,1101,False,True,True,False,True,0.3199999928474426,0.4000000059604645,0.08,0.04,0.055,True,True,15,19,17,0.2437999999999999,0.0928,0.2427999999999999,0.5
report_traineps_4.0_caleps_8.0_calsize_1000_nomcov_0.55_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.44999999999999996,0.7,1e-05,4.0,8.0,50,1000,49000,0,cuda,0.55,0.5,0.722,0.8729,1.9019,0.27802005410194397,0.4815,3.991399689840786,0.5572509765625,0.3085463345050812,0.7583,2.5506,11.991399689840787,0.001,0.549,0.36,0.7914,2.9087,67.62361427756427,6.25,551,False,True,True,False,True,0.3199999928474426,0.41999998688697815,0.1,0.04,0.0515,True,True,15,20,17,0.24239999999999995,0.09140000000000004,0.24139999999999995,0.39999999999999997
